  -0.02 A-V:-1340884514.485 fd=   0 aq=  119KB vq=    1KB sq=    0B f=0/0   
   0.01 A-V:-1340884514.485 fd=   0 aq= 1692KB vq=    1KB sq=    0B f=0/0   
   1.58 A-V: -0.230 fd=   0 aq= 2285KB vq=    0KB sq=    0B f=0/0   
   1.60 A-V: -0.239 fd=   0 aq= 2284KB vq=    0KB sq=    0B f=0/0   
   1.63 A-V: -0.239 fd=   0 aq= 2284KB vq=    0KB sq=    0B f=0/0   
   1.67 A-V: -0.236 fd=   0 aq= 2283KB vq=    0KB sq=    0B f=0/0   
   1.70 A-V: -0.236 fd=   0 aq= 2283KB vq=    0KB sq=    0B f=0/0   
   1.73 A-V: -0.233 fd=   0 aq= 2282KB vq=    0KB sq=    0B f=0/0   
   1.75 A-V: -0.243 fd=   0 aq= 2281KB vq=    0KB sq=    0B f=0/0   
   1.78 A-V: -0.241 fd=   0 aq= 2281KB vq=    0KB sq=    0B f=0/0   
   1.81 A-V: -0.240 fd=   0 aq= 2281KB vq=    0KB sq=    0B f=0/0   
   1.84 A-V: -0.238 fd=   0 aq= 2280KB vq=    0KB sq=    0B f=0/0   
   1.88 A-V: -0.237 fd=   0 aq= 2279KB vq=    0KB sq=    0B f=0/0   
   1.92 A-V: -0.225 fd=   0 aq= 2279KB vq=    0KB sq=    0B f=0/0   
   1.94 A-V: -0.234 fd=   0 aq= 2278KB vq=    0KB sq=    0B f=0/0   
   1.97 A-V: -0.232 fd=   0 aq= 2277KB vq=    0KB sq=    0B f=0/0   
   2.00 A-V: -0.231 fd=   0 aq= 2277KB vq=    0KB sq=    0B f=0/0   
   2.03 A-V: -0.229 fd=   0 aq= 2276KB vq=    0KB sq=    0B f=0/0   
   2.07 A-V: -0.228 fd=   0 aq= 2276KB vq=    0KB sq=    0B f=0/0   
   2.09 A-V: -0.238 fd=   0 aq= 2276KB vq=    0KB sq=    0B f=0/0   
   2.12 A-V: -0.235 fd=   0 aq= 2275KB vq=    0KB sq=    0B f=0/0   
   2.15 A-V: -0.235 fd=   0 aq= 2274KB vq=    0KB sq=    0B f=0/0   
   2.18 A-V: -0.232 fd=   0 aq= 2273KB vq=    0KB sq=    0B f=0/0   
   2.21 A-V: -0.232 fd=   0 aq= 2273KB vq=    0KB sq=    0B f=0/0   
   2.24 A-V: -0.230 fd=   0 aq= 2272KB vq=    0KB sq=    0B f=0/0   
   2.27 A-V: -0.238 fd=   0 aq= 2272KB vq=    0KB sq=    0B f=0/0   
   2.31 A-V: -0.236 fd=   0 aq= 2271KB vq=    0KB sq=    0B f=0/0   
   2.34 A-V: -0.236 fd=   0 aq= 2271KB vq=    0KB sq=    0B f=0/0   
   2.37 A-V: -0.233 fd=   0 aq= 2270KB vq=    0KB sq=    0B f=0/0   
   2.39 A-V: -0.243 fd=   0 aq= 2269KB vq=    0KB sq=    0B f=0/0   
   2.42 A-V: -0.241 fd=   0 aq= 2269KB vq=    0KB sq=    0B f=0/0   
   2.46 A-V: -0.240 fd=   0 aq= 2268KB vq=    0KB sq=    0B f=0/0   
   2.49 A-V: -0.238 fd=   0 aq= 2268KB vq=    0KB sq=    0B f=0/0   
   2.52 A-V: -0.237 fd=   0 aq= 2267KB vq=    0KB sq=    0B f=0/0   
   2.56 A-V: -0.225 fd=   0 aq= 2266KB vq=    0KB sq=    0B f=0/0   
   2.58 A-V: -0.234 fd=   0 aq= 2266KB vq=    0KB sq=    0B f=0/0   
   2.61 A-V: -0.232 fd=   0 aq= 2265KB vq=    0KB sq=    0B f=0/0   
   2.64 A-V: -0.231 fd=   0 aq= 2265KB vq=    0KB sq=    0B f=0/0   
   2.68 A-V: -0.229 fd=   0 aq= 2264KB vq=    0KB sq=    0B f=0/0   
   2.71 A-V: -0.228 fd=   0 aq= 2264KB vq=    0KB sq=    0B f=0/0   
   2.73 A-V: -0.238 fd=   0 aq= 2263KB vq=    0KB sq=    0B f=0/0   
   2.76 A-V: -0.235 fd=   0 aq= 2262KB vq=    0KB sq=    0B f=0/0   
   2.79 A-V: -0.235 fd=   0 aq= 2262KB vq=    0KB sq=    0B f=0/0   
   2.82 A-V: -0.232 fd=   0 aq= 2261KB vq=    0KB sq=    0B f=0/0   
   2.85 A-V: -0.231 fd=   0 aq= 2261KB vq=    0KB sq=    0B f=0/0   
   2.88 A-V: -0.231 fd=   0 aq= 2261KB vq=    0KB sq=    0B f=0/0   
   2.91 A-V: -0.239 fd=   0 aq= 2260KB vq=    0KB sq=    0B f=0/0   
   2.94 A-V: -0.238 fd=   0 aq= 2259KB vq=    0KB sq=    0B f=0/0   
   2.97 A-V: -0.236 fd=   0 aq= 2258KB vq=    0KB sq=    0B f=0/0   
   3.00 A-V: -0.235 fd=   0 aq= 2258KB vq=    0KB sq=    0B f=0/0   
   3.03 A-V: -0.233 fd=   0 aq= 2257KB vq=    0KB sq=    0B f=0/0   
   3.05 A-V: -0.242 fd=   0 aq= 2257KB vq=    0KB sq=    0B f=0/0   
   3.09 A-V: -0.240 fd=   0 aq= 2257KB vq=    0KB sq=    0B f=0/0   
   3.12 A-V: -0.239 fd=   0 aq= 2256KB vq=    0KB sq=    0B f=0/0   
   3.15 A-V: -0.237 fd=   0 aq= 2255KB vq=    0KB sq=    0B f=0/0   
   3.19 A-V: -0.225 fd=   0 aq= 2254KB vq=    0KB sq=    0B f=0/0   
   3.21 A-V: -0.234 fd=   0 aq= 2254KB vq=    0KB sq=    0B f=0/0   
   3.24 A-V: -0.234 fd=   0 aq= 2254KB vq=    0KB sq=    0B f=0/0   
   3.27 A-V: -0.231 fd=   0 aq= 2253KB vq=    0KB sq=    0B f=0/0   
   3.31 A-V: -0.230 fd=   0 aq= 2252KB vq=    0KB sq=    0B f=0/0   
   3.34 A-V: -0.228 fd=   0 aq= 2252KB vq=    0KB sq=    0B f=0/0   
   3.36 A-V: -0.238 fd=   0 aq= 2251KB vq=    0KB sq=    0B f=0/0   
   3.39 A-V: -0.236 fd=   0 aq= 2251KB vq=    0KB sq=    0B f=0/0   
   3.42 A-V: -0.235 fd=   0 aq= 2250KB vq=    0KB sq=    0B f=0/0   
   3.45 A-V: -0.234 fd=   0 aq= 2250KB vq=    0KB sq=    0B f=0/0   
   3.48 A-V: -0.231 fd=   0 aq= 2249KB vq=    0KB sq=    0B f=0/0   
   3.51 A-V: -0.231 fd=   0 aq= 2248KB vq=    0KB sq=    0B f=0/0   
   3.54 A-V: -0.239 fd=   0 aq= 2248KB vq=    0KB sq=    0B f=0/0   
   3.57 A-V: -0.238 fd=   0 aq= 2247KB vq=    0KB sq=    0B f=0/0   
   3.61 A-V: -0.236 fd=   0 aq= 2247KB vq=    0KB sq=    0B f=0/0   
   3.64 A-V: -0.235 fd=   0 aq= 2246KB vq=    0KB sq=    0B f=0/0   
   3.67 A-V: -0.233 fd=   0 aq= 2246KB vq=    0KB sq=    0B f=0/0   
   3.69 A-V: -0.243 fd=   0 aq= 2245KB vq=    0KB sq=    0B f=0/0   
   3.72 A-V: -0.240 fd=   0 aq= 2244KB vq=    0KB sq=    0B f=0/0   
   3.75 A-V: -0.240 fd=   0 aq= 2244KB vq=    0KB sq=    0B f=0/0   
   3.78 A-V: -0.237 fd=   0 aq= 2243KB vq=    0KB sq=    0B f=0/0   
   3.83 A-V: -0.226 fd=   0 aq= 2242KB vq=    0KB sq=    0B f=0/0   
   3.85 A-V: -0.234 fd=   0 aq= 2242KB vq=    0KB sq=    0B f=0/0   
   3.88 A-V: -0.233 fd=   0 aq= 2242KB vq=    0KB sq=    0B f=0/0   
   3.91 A-V: -0.231 fd=   0 aq= 2241KB vq=    0KB sq=    0B f=0/0   
   3.94 A-V: -0.230 fd=   0 aq= 2240KB vq=    0KB sq=    0B f=0/0   
   3.97 A-V: -0.228 fd=   0 aq= 2239KB vq=    0KB sq=    0B f=0/0   
   3.99 A-V: -0.238 fd=   0 aq= 2239KB vq=    0KB sq=    0B f=0/0   
   4.03 A-V: -0.237 fd=   0 aq= 2239KB vq=    0KB sq=    0B f=0/0   
   4.06 A-V: -0.235 fd=   0 aq= 2238KB vq=    0KB sq=    0B f=0/0   
   4.09 A-V: -0.234 fd=   0 aq= 2237KB vq=    0KB sq=    0B f=0/0   
   4.12 A-V: -0.231 fd=   0 aq= 2237KB vq=    0KB sq=    0B f=0/0   
   4.15 A-V: -0.231 fd=   0 aq= 2236KB vq=    0KB sq=    0B f=0/0   
   4.17 A-V: -0.239 fd=   0 aq= 2236KB vq=    0KB sq=    0B f=0/0   
   4.20 A-V: -0.238 fd=   0 aq= 2235KB vq=    0KB sq=    0B f=0/0   
   4.24 A-V: -0.236 fd=   0 aq= 2235KB vq=    0KB sq=    0B f=0/0   
   4.27 A-V: -0.235 fd=   0 aq= 2234KB vq=    0KB sq=    0B f=0/0   
   4.30 A-V: -0.233 fd=   0 aq= 2233KB vq=    0KB sq=    0B f=0/0   
   4.32 A-V: -0.243 fd=   0 aq= 2233KB vq=    0KB sq=    0B f=0/0   
   4.35 A-V: -0.242 fd=   0 aq= 2233KB vq=    0KB sq=    0B f=0/0   
   4.38 A-V: -0.240 fd=   0 aq= 2232KB vq=    0KB sq=    0B f=0/0   
   4.41 A-V: -0.239 fd=   0 aq= 2232KB vq=    0KB sq=    0B f=0/0   
   4.45 A-V: -0.237 fd=   0 aq= 2231KB vq=    0KB sq=    0B f=0/0   
   4.49 A-V: -0.226 fd=   0 aq= 2230KB vq=    0KB sq=    0B f=0/0   
   4.51 A-V: -0.233 fd=   0 aq= 2229KB vq=    0KB sq=    0B f=0/0   
   4.54 A-V: -0.232 fd=   0 aq= 2229KB vq=    0KB sq=    0B f=0/0   
   4.57 A-V: -0.230 fd=   0 aq= 2228KB vq=    0KB sq=    0B f=0/0   
   4.60 A-V: -0.230 fd=   0 aq= 2228KB vq=    0KB sq=    0B f=0/0   
   4.63 A-V: -0.228 fd=   0 aq= 2228KB vq=    0KB sq=    0B f=0/0   
   4.66 A-V: -0.237 fd=   0 aq= 2227KB vq=    0KB sq=    0B f=0/0   
